Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/status),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
16,0,0,3,0,13,0,0,0,0,2,13,2,3,0,0,0,3,0,2,0,492,0,0,0,3,26,0,0,0,2,0,0,0,0,3,2,2,3,3,7,26
15,0,0,2,0,12,0,0,0,0,3,12,3,3,0,0,0,2,0,2,0,504,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,4,4,7,25
5,0,1,4,0,13,0,0,0,0,2,13,1,1,0,0,0,3,0,1,0,463,1,0,1,4,25,0,1,1,1,0,0,0,0,4,2,2,12,12,7,25
0,0,0,2,0,13,0,6,1,0,4,13,3,3,0,0,0,2,0,3,0,479,1,1,0,3,24,1,2,1,2,0,0,0,1,4,3,3,13,13,21,25
0,0,0,3,0,13,1,14,1,1,5,13,2,2,0,0,0,2,0,2,0,494,2,1,1,5,25,1,1,0,2,0,0,0,1,4,2,2,11,11,11,26
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,2,0,497,0,0,0,2,24,0,0,0,2,0,0,0,0,2,3,3,2,2,7,24
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,498,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,1,25
0,0,0,2,0,11,0,14,0,0,3,11,1,1,0,0,0,2,0,1,0,479,0,0,0,2,23,0,0,0,2,0,0,0,0,2,3,3,1,1,10,23
0,0,0,3,0,14,0,16,0,0,2,14,3,2,0,0,0,2,0,3,0,504,0,0,0,3,27,0,0,0,2,0,0,0,0,3,2,2,2,2,7,27
0,0,0,2,0,12,0,15,0,0,3,12,1,1,0,0,0,2,0,0,0,499,0,0,0,2,24,0,0,0,2,0,0,0,0,2,3,3,2,2,8,25
0,0,0,3,0,13,0,11,0,1,3,13,2,2,0,0,0,2,0,2,0,500,1,0,1,4,25,0,1,1,2,0,0,0,0,4,2,2,11,11,8,25
0,0,0,2,0,12,0,0,1,0,4,12,1,2,0,0,0,1,0,2,0,499,1,1,0,3,25,1,1,0,2,0,0,0,1,3,3,3,6,6,13,25
0,0,0,3,0,13,0,15,0,0,2,13,1,1,0,0,0,2,0,1,0,486,0,0,0,3,25,0,1,1,0,0,0,0,0,4,2,2,7,7,11,25
0,0,0,2,0,12,1,10,1,2,7,12,1,1,0,0,0,2,0,1,0,482,3,1,2,5,24,1,1,0,3,0,0,0,1,3,3,3,15,15,13,23
3,1,0,4,0,13,0,0,0,0,2,13,2,2,0,0,0,2,0,2,0,496,1,1,0,4,25,1,2,1,2,0,0,0,1,5,2,2,9,9,3,25
11,0,1,3,0,12,0,0,0,0,3,12,2,2,0,0,0,2,0,2,0,501,1,0,1,3,25,0,0,0,2,0,0,0,0,2,3,3,5,5,7,26
0,0,0,3,0,12,0,12,1,0,3,12,2,2,0,0,0,2,0,2,0,487,1,1,0,4,23,1,0,0,2,0,0,0,0,3,2,2,6,6,6,23
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,1,0,2,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,2,2,2,12,25
0,0,0,3,0,13,0,15,0,0,2,13,1,1,0,0,0,2,0,1,0,496,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,1,1,2,25
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,2,0,494,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,2,2,7,25
0,0,0,3,0,13,0,14,0,0,2,13,2,2,0,0,0,2,0,2,0,478,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,13,25
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,2,0,487,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,2,2,14,25
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,492,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,3,3,2,25
0,0,0,2,0,12,0,13,0,1,4,12,1,1,0,0,0,2,0,1,0,495,1,0,1,3,25,0,1,1,2,0,0,0,0,3,3,3,6,6,6,24
0,0,0,3,0,13,0,0,0,0,2,13,2,2,0,0,0,2,0,2,0,492,0,0,0,3,25,0,1,0,0,0,0,0,0,3,2,2,9,9,5,26
0,0,0,2,0,12,0,13,1,0,4,12,2,2,0,0,0,2,0,2,0,484,0,0,0,2,25,1,1,0,3,0,0,0,0,2,3,3,5,5,11,24
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,488,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,5,25
0,0,0,2,0,13,0,15,0,0,3,13,1,1,0,0,0,2,0,1,0,490,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,1,1,6,25
0,0,0,2,0,13,0,14,0,0,2,13,2,2,0,0,0,1,0,1,0,494,0,0,0,3,24,0,0,0,2,0,0,0,0,3,2,2,1,1,9,25
0,0,0,2,0,12,0,15,0,0,3,12,1,1,0,0,0,2,0,1,0,483,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,1,1,12,26
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,1,0,495,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,8,26
0,0,0,2,0,12,0,11,0,1,4,12,0,2,0,0,0,2,0,2,0,462,0,0,0,2,25,0,1,0,2,0,0,0,1,3,3,3,4,4,12,25
