Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
0,10,1,0,3,11,1,4,0,1,4,11,2,2,0,0,2,0,1,0,474,2,1,1,5,24,1,3,2,1,0,0,0,1,0,6,0,3,3,20,20,7,26
1,4,0,1,4,13,0,8,1,1,5,13,2,2,0,0,2,0,2,0,501,3,1,2,5,25,1,1,0,3,0,0,0,1,0,3,0,2,2,16,16,10,25
0,0,0,0,2,12,0,0,0,0,2,12,2,2,0,0,2,0,2,0,493,0,0,0,3,25,0,1,1,2,0,0,0,0,0,4,0,3,3,8,8,4,25
0,0,0,0,3,13,0,0,0,0,3,13,1,1,0,0,1,0,1,0,493,2,1,1,4,25,1,2,1,2,0,0,0,1,0,4,0,2,2,15,15,21,25
1,13,2,1,6,12,0,0,0,0,2,12,2,2,0,0,2,0,2,0,469,3,2,1,6,24,2,3,1,2,0,0,0,2,0,6,0,3,3,17,17,10,23
1,15,1,1,6,13,0,0,0,0,3,13,3,3,0,0,3,0,3,0,501,2,1,1,4,26,1,2,1,2,0,0,0,1,0,4,0,2,2,16,16,14,26
0,2,0,1,3,12,0,10,1,0,3,12,2,2,0,0,2,0,1,0,477,2,1,1,5,25,1,0,0,2,0,0,0,0,0,3,0,3,3,9,9,9,25
0,0,0,0,3,12,0,15,0,0,3,12,1,2,0,0,2,0,1,0,502,0,0,0,2,23,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,10,23
0,0,0,0,2,12,0,15,0,0,2,12,1,1,0,0,1,0,1,0,497,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,1,1,7,24
0,0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,1,0,2,0,503,0,0,0,2,25,0,0,0,2,0,0,0,0,0,2,0,2,2,3,3,5,25
0,0,0,0,2,12,0,15,0,0,2,12,1,1,0,0,2,0,1,0,498,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,1,1,2,24
0,0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,488,0,0,0,2,25,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,10,27
0,0,0,0,2,11,0,15,0,0,2,11,2,2,0,0,2,0,1,0,484,0,0,0,3,24,0,0,0,2,0,0,0,0,0,3,0,3,3,2,2,15,25
0,0,0,0,2,12,0,15,0,0,2,12,1,1,0,0,1,0,1,0,498,0,0,0,2,24,0,0,0,2,0,0,0,0,0,2,0,2,2,1,1,5,24
0,0,0,0,3,13,0,15,0,0,3,13,1,2,0,0,2,0,1,0,496,0,0,0,3,26,0,0,0,2,0,0,0,0,0,3,0,3,3,1,2,3,26
0,0,0,0,3,13,0,15,0,0,3,13,1,1,0,0,1,0,0,0,487,0,0,0,2,23,0,0,0,2,0,0,0,0,0,2,0,2,2,1,1,6,24
0,0,0,0,2,12,0,15,0,0,2,12,2,2,0,0,1,0,2,0,484,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,2,2,11,26
0,0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,5,24
0,0,0,0,2,13,0,15,0,0,2,13,1,1,0,0,2,0,1,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,1,1,2,26
0,0,0,0,3,13,0,14,0,0,3,13,1,2,0,0,2,0,1,0,495,0,0,0,2,25,0,0,0,2,0,0,0,0,0,2,0,2,2,3,3,10,25
0,0,0,0,2,12,0,15,0,0,2,12,2,2,0,0,2,0,1,0,466,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,2,2,12,25
0,0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,1,0,1,0,499,0,0,0,2,24,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,6,25
0,0,0,0,2,12,0,15,0,0,2,12,2,1,0,0,2,0,2,0,500,0,0,0,3,24,0,0,0,2,0,0,0,0,0,3,0,3,3,1,1,3,24
0,0,0,0,3,13,0,15,0,0,3,13,1,2,0,0,2,0,1,0,490,0,0,0,2,26,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,5,25
0,0,0,0,2,12,0,15,0,0,2,12,2,2,0,0,1,0,2,0,473,0,0,0,3,24,0,0,0,1,0,0,0,0,0,3,0,3,3,2,2,7,25
0,0,0,0,3,13,0,15,0,0,3,13,0,1,0,0,2,0,0,0,488,0,0,0,2,26,0,0,0,3,0,0,0,0,0,2,0,2,2,1,1,10,26
0,0,0,0,2,12,0,14,0,1,3,12,2,2,0,0,1,0,2,0,503,1,0,1,4,25,0,0,0,2,0,0,0,0,0,3,0,3,3,7,7,8,25
0,0,0,0,2,12,0,0,0,0,2,12,2,2,0,0,2,0,1,0,479,0,0,0,2,24,0,2,1,0,0,0,0,0,0,3,0,2,2,9,9,11,23
0,0,0,0,3,12,0,12,1,0,4,12,2,2,0,0,3,0,2,0,485,0,0,0,3,25,1,1,0,3,0,0,0,0,0,3,0,3,3,6,6,13,25
0,0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,501,0,0,0,2,24,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,12,24
0,0,0,0,2,12,0,15,0,0,2,12,3,3,0,0,2,0,2,0,488,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,4,4,3,25
0,0,0,0,3,13,0,15,0,0,3,13,1,1,0,0,2,0,0,0,498,0,0,0,2,24,0,0,0,2,0,0,0,0,0,2,0,2,2,1,1,6,24
0,0,0,0,2,12,0,15,0,0,2,12,2,2,0,0,2,0,2,0,501,0,0,0,3,25,0,0,0,2,0,0,0,0,0,3,0,3,3,2,1,2,26
0,0,0,0,3,13,0,15,0,0,3,13,1,2,0,0,2,0,2,0,484,0,0,0,2,25,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,11,24
